* T-Spice 13.00 Simulation	Wed Apr 10 13:09:05 2019	C:\Users\i140420\Desktop\Kamran_VLSI_9_3-4\v0.75_L9.spc
* Command line: tspice -o C:\Users\i140420\Desktop\Kamran_VLSI_9_3-4\v0.75_L9.out C:\Users\i140420\Desktop\Kamran_VLSI_9_3-4\v0.75_L9.spc 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 4
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 43                MOSFET geometries - 46      
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 4                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 30                   Boundary nodes - 5       
*         Total nodes - 35      


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-008   1e-007
TRANSIENT ANALYSIS
Time<s>        v(A0,Gnd)<V>  v(B0,Gnd)<V>  v(FnXor,Gnd)<V>  v(Z0,Gnd)<V>
 2.167427e-008  0.0000e+000  0.0000e+000  5.0000e+000  3.3299e-002
 2.433400e-008  0.0000e+000  0.0000e+000  5.0000e+000  6.8980e-003
 2.566386e-008  0.0000e+000  0.0000e+000  5.0000e+000  6.0395e-003
 3.000000e-008  0.0000e+000  0.0000e+000  5.0000e+000  2.6163e-003
 3.250000e-008  0.0000e+000  5.0000e+000  5.0000e+000  3.0367e+000
 3.375000e-008  0.0000e+000  5.0000e+000  5.0000e+000  3.5755e+000
 3.437500e-008  0.0000e+000  5.0000e+000  5.0000e+000  3.7752e+000
 3.557684e-008  0.0000e+000  5.0000e+000  5.0000e+000  3.9443e+000
 3.809586e-008  0.0000e+000  5.0000e+000  5.0000e+000  4.0752e+000
 4.100000e-008  0.0000e+000  5.0000e+000  5.0000e+000  4.1233e+000
 4.350000e-008  0.0000e+000  0.0000e+000  5.0000e+000  1.3689e+000
 4.475000e-008  0.0000e+000  0.0000e+000  5.0000e+000  6.1870e-001
 4.500000e-008  0.0000e+000  0.0000e+000  5.0000e+000  4.8169e-001
 4.540594e-008  2.0297e+000  0.0000e+000  5.0000e+000  5.2999e-001
 4.560891e-008  3.0446e+000  0.0000e+000  5.0000e+000  5.8998e-001
 4.573038e-008  3.6519e+000  0.0000e+000  5.0000e+000  6.4320e-001
 4.580334e-008  4.0167e+000  0.0000e+000  5.0000e+000  7.0593e-001
 4.586142e-008  4.3071e+000  0.0000e+000  5.0000e+000  7.9215e-001
 4.592087e-008  4.6044e+000  0.0000e+000  5.0000e+000  9.1409e-001
 4.599457e-008  4.9729e+000  0.0000e+000  5.0000e+000  1.0960e+000
 4.600000e-008  5.0000e+000  0.0000e+000  5.0000e+000  1.1104e+000
 4.602720e-008  5.0000e+000  0.0000e+000  5.0000e+000  1.1679e+000
 4.615825e-008  5.0000e+000  0.0000e+000  5.0000e+000  1.4076e+000
 4.634036e-008  5.0000e+000  0.0000e+000  5.0000e+000  1.7039e+000
 4.652748e-008  5.0000e+000  0.0000e+000  5.0000e+000  1.9392e+000
 4.677680e-008  5.0000e+000  0.0000e+000  5.0000e+000  2.1944e+000
 4.703438e-008  5.0000e+000  0.0000e+000  5.0000e+000  2.4279e+000
 4.732425e-008  5.0000e+000  0.0000e+000  5.0000e+000  2.6693e+000
 4.768177e-008  5.0000e+000  0.0000e+000  5.0000e+000  2.9354e+000
 4.815518e-008  5.0000e+000  0.0000e+000  5.0000e+000  3.2296e+000
 4.881988e-008  5.0000e+000  0.0000e+000  5.0000e+000  3.5386e+000
 4.981406e-008  5.0000e+000  0.0000e+000  5.0000e+000  3.8245e+000
 5.145745e-008  5.0000e+000  0.0000e+000  5.0000e+000  4.0402e+000
 5.416514e-008  5.0000e+000  0.0000e+000  5.0000e+000  4.1475e+000
 5.600000e-008  5.0000e+000  0.0000e+000  5.0000e+000  4.1668e+000
 5.850000e-008  0.0000e+000  0.0000e+000  5.0000e+000  1.3988e+000
 5.975000e-008  0.0000e+000  0.0000e+000  5.0000e+000  6.4067e-001
 6.000000e-008  0.0000e+000  0.0000e+000  5.0000e+000  5.0138e-001
 6.040261e-008  0.0000e+000  2.0131e+000  5.0000e+000  9.1927e-001
 6.060392e-008  0.0000e+000  3.0196e+000  5.0000e+000  1.2153e+000
 6.070457e-008  0.0000e+000  3.5229e+000  5.0000e+000  1.3719e+000
 6.080796e-008  0.0000e+000  4.0398e+000  5.0000e+000  1.5681e+000
 6.086402e-008  0.0000e+000  4.3201e+000  5.0000e+000  1.6975e+000
 6.092126e-008  0.0000e+000  4.6063e+000  5.0000e+000  1.8424e+000
 6.098704e-008  0.0000e+000  4.9352e+000  5.0000e+000  2.0169e+000
 6.100000e-008  0.0000e+000  5.0000e+000  5.0000e+000  2.0519e+000
 6.104104e-008  0.0000e+000  5.0000e+000  5.0000e+000  2.1456e+000
 6.118111e-008  0.0000e+000  5.0000e+000  5.0000e+000  2.4318e+000
 6.142922e-008  0.0000e+000  5.0000e+000  5.0000e+000  2.8561e+000
 6.169458e-008  0.0000e+000  5.0000e+000  5.0000e+000  3.1510e+000
 6.199465e-008  0.0000e+000  5.0000e+000  5.0000e+000  3.3678e+000
 6.239783e-008  0.0000e+000  5.0000e+000  5.0000e+000  3.5634e+000
 6.302891e-008  0.0000e+000  5.0000e+000  5.0000e+000  3.7551e+000
 6.415640e-008  0.0000e+000  5.0000e+000  5.0000e+000  3.9293e+000
 6.652351e-008  0.0000e+000  5.0000e+000  5.0000e+000  4.0653e+000
 7.100000e-008  0.0000e+000  5.0000e+000  5.0000e+000  4.1409e+000
 7.200000e-008  0.0000e+000  0.0000e+000  5.0000e+000  2.3779e+000
 7.250000e-008  0.0000e+000  0.0000e+000  5.0000e+000  1.6796e+000
 7.275000e-008  0.0000e+000  0.0000e+000  5.0000e+000  1.3728e+000
 7.314954e-008  0.0000e+000  0.0000e+000  5.0000e+000  9.4264e-001
 7.351570e-008  0.0000e+000  0.0000e+000  5.0000e+000  6.4654e-001
 7.392015e-008  0.0000e+000  0.0000e+000  5.0000e+000  4.1985e-001
 7.443070e-008  0.0000e+000  0.0000e+000  5.0000e+000  2.4114e-001
 7.515657e-008  0.0000e+000  0.0000e+000  5.0000e+000  1.0937e-001
 7.635848e-008  0.0000e+000  0.0000e+000  5.0000e+000  2.9836e-002
 7.878463e-008  0.0000e+000  0.0000e+000  5.0000e+000  3.4601e-003
 7.999770e-008  0.0000e+000  0.0000e+000  5.0000e+000  3.9314e-003
 8.500000e-008  0.0000e+000  0.0000e+000  5.0000e+000  1.8315e-003
 8.600000e-008  5.0000e+000  0.0000e+000  5.0000e+000  1.6644e+000
 8.650000e-008  5.0000e+000  0.0000e+000  5.0000e+000  2.1989e+000
 8.675000e-008  5.0000e+000  0.0000e+000  5.0000e+000  2.4348e+000
 8.727060e-008  5.0000e+000  0.0000e+000  5.0000e+000  2.8675e+000
 8.782526e-008  5.0000e+000  0.0000e+000  5.0000e+000  3.2187e+000
 8.852987e-008  5.0000e+000  0.0000e+000  5.0000e+000  3.5464e+000
 8.956109e-008  5.0000e+000  0.0000e+000  5.0000e+000  3.8364e+000
 9.000000e-008  5.0000e+000  0.0000e+000  5.0000e+000  3.9079e+000
 9.100000e-008  5.0000e+000  5.0000e+000  5.0000e+000  2.7133e+000
 9.150000e-008  5.0000e+000  5.0000e+000  5.0000e+000  1.9635e+000
 9.175000e-008  5.0000e+000  5.0000e+000  5.0000e+000  1.6306e+000
 9.200000e-008  5.0000e+000  5.0000e+000  5.0000e+000  1.3236e+000
 9.226402e-008  5.0000e+000  5.0000e+000  3.6799e+000  8.6797e-001
 9.252480e-008  5.0000e+000  5.0000e+000  2.3760e+000  5.3205e-001
 9.275663e-008  5.0000e+000  5.0000e+000  1.2168e+000  2.8360e-001
 9.292354e-008  5.0000e+000  5.0000e+000  3.8228e-001  1.8252e-001
 9.300000e-008  5.0000e+000  5.0000e+000  0.0000e+000  1.8598e-001
 9.306790e-008  5.0000e+000  5.0000e+000  0.0000e+000  2.1611e-001
 9.311887e-008  5.0000e+000  5.0000e+000  0.0000e+000  2.3604e-001
 9.319088e-008  5.0000e+000  5.0000e+000  0.0000e+000  2.6034e-001
 9.326968e-008  5.0000e+000  5.0000e+000  0.0000e+000  2.8128e-001
 9.337142e-008  5.0000e+000  5.0000e+000  0.0000e+000  3.0268e-001
 9.351095e-008  5.0000e+000  5.0000e+000  0.0000e+000  3.2428e-001
 9.371177e-008  5.0000e+000  5.0000e+000  0.0000e+000  3.4398e-001
 9.402120e-008  5.0000e+000  5.0000e+000  0.0000e+000  3.5817e-001
 9.456044e-008  5.0000e+000  5.0000e+000  0.0000e+000  3.6284e-001
 9.564655e-008  5.0000e+000  5.0000e+000  0.0000e+000  3.5804e-001
 9.600000e-008  5.0000e+000  5.0000e+000  0.0000e+000  3.5687e-001
 9.700000e-008  0.0000e+000  5.0000e+000  0.0000e+000  6.8936e-001
 9.750000e-008  0.0000e+000  5.0000e+000  0.0000e+000  8.1841e-001
