* T-Spice 13.00 Simulation	Tue Apr 23 16:56:30 2019	C:\Users\i140420\Desktop\Kamran_VLSI_12_19-4\Xor\Cell0.sp
* Command line: tspice -o C:\Users\i140420\Desktop\Kamran_VLSI_12_19-4\Xor\Cell0.out C:\Users\i140420\Desktop\Kamran_VLSI_12_19-4\Xor\Cell0.sp 
* T-Spice Win32 13.00.20080321.01:01:33
* Warning : Node N_3 is attached to only one device (MM2)
* Warning : Node N_5 is attached to only one device (MM3)
* Warning : Node N_7 is attached to only one device (MM4)
* Warning : Node N_9 is attached to only one device (MM5)
* Warning : Node N_11 is attached to only one device (MM6)
*
* Warning : Disabling printout of duplicate warning messages.
*         : 	Use '.options maxmsg=0' to view all warnings,
*         : 	or increase maxmsg from 5 to view more messages.
*

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 4
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 7                 MOSFET geometries - 4       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 7                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 13                   Boundary nodes - 8       
*         Total nodes - 21      

* *** 6 WARNING MESSAGES GENERATED DURING SETUP


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-009   1e-007
TRANSIENT ANALYSIS
Time<s>            v(A)<V>      v(B)<V>      v(C)<V>      v(D)<V>      v(E)<V>      v(F)<V>  v(in6NOR)<V>
 3.176456e-008  1.1772e+000  0.0000e+000  1.1772e+000  0.0000e+000  0.0000e+000  0.0000e+000  4.9718e+000
 3.185122e-008  7.4387e-001  0.0000e+000  7.4387e-001  0.0000e+000  0.0000e+000  0.0000e+000  4.9730e+000
 3.192809e-008  3.5950e-001  0.0000e+000  3.5950e-001  0.0000e+000  0.0000e+000  0.0000e+000  4.9735e+000
 3.200000e-008  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  4.9751e+000
 3.207176e-008  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  4.9932e+000
 3.241573e-008  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  4.9986e+000
 3.258772e-008  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  4.9992e+000
 3.311148e-008  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  4.9991e+000
 3.337336e-008  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  4.9994e+000
 3.469647e-008  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  4.9996e+000
 3.669647e-008  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  4.9999e+000
 3.869647e-008  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  4.9998e+000
 4.000000e-008  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 4.025000e-008  0.0000e+000  1.2500e+000  0.0000e+000  0.0000e+000  1.2500e+000  0.0000e+000  5.0039e+000
 4.037500e-008  0.0000e+000  1.8750e+000  0.0000e+000  0.0000e+000  1.8750e+000  0.0000e+000  5.0049e+000
 4.049312e-008  0.0000e+000  2.4656e+000  0.0000e+000  0.0000e+000  2.4656e+000  0.0000e+000  5.0049e+000
 4.061449e-008  0.0000e+000  3.0725e+000  0.0000e+000  0.0000e+000  3.0725e+000  0.0000e+000  5.0048e+000
 4.075182e-008  0.0000e+000  3.7591e+000  0.0000e+000  0.0000e+000  3.7591e+000  0.0000e+000  5.0047e+000
 4.090163e-008  0.0000e+000  4.5082e+000  0.0000e+000  0.0000e+000  4.5082e+000  0.0000e+000  5.0046e+000
 4.100000e-008  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  5.0046e+000
 4.114798e-008  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  5.0003e+000
 4.262787e-008  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 4.462787e-008  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 4.662787e-008  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 4.862787e-008  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 5.000000e-008  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 5.025000e-008  0.0000e+000  5.0000e+000  1.2500e+000  0.0000e+000  5.0000e+000  1.2500e+000  5.0009e+000
 5.037500e-008  0.0000e+000  5.0000e+000  1.8750e+000  0.0000e+000  5.0000e+000  1.8750e+000  4.9992e+000
 5.043750e-008  0.0000e+000  5.0000e+000  2.1875e+000  0.0000e+000  5.0000e+000  2.1875e+000  4.9984e+000
 5.051634e-008  0.0000e+000  5.0000e+000  2.5817e+000  0.0000e+000  5.0000e+000  2.5817e+000  5.0016e+000
 5.061781e-008  0.0000e+000  5.0000e+000  3.0891e+000  0.0000e+000  5.0000e+000  3.0891e+000  5.0042e+000
 5.074371e-008  0.0000e+000  5.0000e+000  3.7186e+000  0.0000e+000  5.0000e+000  3.7186e+000  5.0027e+000
 5.089759e-008  0.0000e+000  5.0000e+000  4.4880e+000  0.0000e+000  5.0000e+000  4.4880e+000  5.0036e+000
 5.100000e-008  0.0000e+000  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0030e+000
 5.116092e-008  0.0000e+000  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0002e+000
 5.277015e-008  0.0000e+000  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000
 5.477015e-008  0.0000e+000  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000
 5.677015e-008  0.0000e+000  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000
 5.877015e-008  0.0000e+000  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000
 6.000000e-008  0.0000e+000  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000
 6.025000e-008  1.2500e+000  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0153e+000
 6.034000e-008  1.7000e+000  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0161e+000
